V1,V2,V3,V4,V5,V6
0.002666488,0.000527175,0.00207301,-0.002342913,0.001861146,-0.002369107
0.00927347,0.007179561,0.008849985,0.001481859,0.007115693,0.001089804
-0.003465868,-0.00486616,-0.005048654,-0.00345324,-0.005437697,-0.003304519
-0.01610941,-0.010809502,-0.01507146,-0.000115505,-0.008012032,-0.000771631
0.001492207,0.004511001,0.006632557,0.000729526,0.010696896,0.00073927
0.017283786,0.014203714,0.010313994,0.000596693,0.009073976,0.000622508
-0.002168236,-0.001422496,-0.001711297,-0.000276539,-0.000854638,-0.0003602
-0.01302381,-0.013498027,-0.00812899,-0.000317557,-0.012845622,-0.001853011
-0.00426836,-0.000824149,-0.000471587,-0.000936446,-0.009237443,-0.002292306
-0.00469961,-0.006265012,-0.006372245,8.08E-06,-0.005379617,0.000207468
0.000435102,-0.003877812,-0.001370759,-2.57E-05,-3.80E-05,0.000159642
-0.004321035,-0.007715621,-0.004088457,0,-0.00819475,-0.001653335
-0.007837183,-0.014384516,-0.014715123,0,-0.024761246,-0.006473983
0.016077102,0.01859116,0.017413014,0,0.017505414,5.56E-05
-0.015000638,-0.016840965,-0.015993765,0,-0.011290135,-0.000511377
0.003786352,0.004475232,0.004542068,0.004718059,0.004987167,5.38E-05
0.020571097,0.034248381,0.018274275,-0.000157056,0.013500509,-0.000529344
-0.00066258,-0.002055818,-0.002593611,-0.000205212,0.000290861,-0.000199451
-0.010714367,-0.013912663,-0.014556361,0.000608227,-0.005154722,0.000802772
-0.008259886,-0.005490006,-0.008304917,-3.72E-05,-0.011198035,-0.000825848
-0.0031963,-0.005749724,-0.004679131,-8.04E-05,-0.005399313,-0.000913915
0.022364145,0.017202204,0.016738257,0.00191929,0.013273973,0.002696084
-0.016797027,-0.007398938,-0.013680074,-0.002534927,-0.010957827,-0.002833795
-0.015824076,-0.007377888,-0.006829685,-0.000938505,-0.003344212,-0.000505752
-0.025158812,-0.012659929,-0.016945386,-0.000985495,-0.008829237,-0.001397136
-0.057193481,-0.047620186,-0.049656391,-0.003702638,-0.041908546,-0.004665081
0.001295111,0.003546654,0.005751128,-6.97E-05,0.003003758,-0.000101
-0.008350338,-0.007966911,-0.006850477,-1.94E-05,-0.010694406,-0.006398014
0.003829006,0.006723886,0.004191173,0.002789821,0.008464028,0.002876885
-0.01565026,-0.018996531,-0.012389351,-0.002831011,-0.008336263,-0.002510436
-0.003896919,-0.002549631,-0.003980737,-0.007266237,-0.005176291,-0.00650043
-0.019410655,-0.020913723,-0.017518589,-0.003002545,-0.015060144,-0.0034506
-0.013465194,-0.013876877,-0.015362714,-0.003613422,-0.0115133,-0.003993504
0.035712272,0.031312601,0.033817653,0.002871472,0.024577988,0.0029214
-0.030001461,-0.023921045,-0.032085734,-0.001960322,-0.024030907,-0.001723708
-0.00044513,-0.002148732,0.00147491,-0.001237061,0.002885899,0.001195949
